type,properties.Name,properties.description,properties.altitudeMode,properties.WEBSITE,properties.CITY,properties.ZIP,properties.SCHOOLNAME,properties.TEA,properties.LEVEL,properties.PHONE,properties.SLN,properties.FID,properties.ADDRESS,properties.Field_1,geometry.type,Longtitude,Latitude,lat_long
Feature,Hogg New Tech Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hogg"">http://www.dallasisd.org/hogg</a>",Dallas,75208,Hogg New Tech Center,157,Elementary,9725028600,157,78,1144 N. Madison Ave.,Hogg New Tech Center,Point,-96.82508208,32.75687959,"32.75687959,-96.82508208"
Feature,Hooe Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hooe"">http://www.dallasisd.org/hooe</a>",Dallas,75211,Hooe Elementary School,158,Elementary,9727946700,158,79,2419 Gladstone Dr.,Hooe Elementary School,Point,-96.85745756,32.74075466,"32.74075466,-96.85745756"
Feature,Kahn Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/kahn"">http://www.dallasisd.org/kahn</a>",Dallas,75211,Kahn Elementary School,275,Elementary,9725021400,275,80,610 N. Franklin St.,Kahn Elementary School,Point,-96.85984939,32.75128466,"32.75128466,-96.85984939"
Feature,Peabody Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/peabody"">http://www.dallasisd.org/peabody</a>",Dallas,75211,Peabody Elementary School,190,Elementary,9727945200,190,81,3101 Raydell Place,Peabody Elementary School,Point,-96.8729504,32.74286053,"32.74286053,-96.8729504"
Feature,Peeler Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/peeler"">http://www.dallasisd.org/peeler</a>",Dallas,75208,Peeler Elementary School,192,Elementary,9725028300,192,82,810 S. Llewellyn Ave.,Peeler Elementary School,Point,-96.8311873,32.73806728,"32.73806728,-96.8311873"
Feature,Reagan Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/reagan"">http://www.dallasisd.org/reagan</a>",Dallas,75208,Reagan Elementary School,197,Elementary,9725028200,197,83,201 N. Adams Ave.,Reagan Elementary School,Point,-96.83115249,32.74684085,"32.74684085,-96.83115249"
Feature,Rosemont Lower,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rosemont"">http://www.dallasisd.org/rosemont</a>",Dallas,75208,Rosemont Lower,204,Elementary,9727495000,204,84,1919 Stevens Forest Dr.,Rosemont Lower,Point,-96.85049396,32.75269781,"32.75269781,-96.85049396"
Feature,Stevens Park Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/stevenspark"">http://www.dallasisd.org/stevenspark</a>",Dallas,75211,Stevens Park Elementary School,211,Elementary,9727944200,211,86,2615 W. Colorado Blvd.,Stevens Park Elementary School,Point,-96.86488483,32.76075207,"32.76075207,-96.86488483"
Feature,Winnetka Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/winnetka"">http://www.dallasisd.org/winnetka</a>",Dallas,75208,Winnetka Elementary School,229,Elementary,9727495100,229,87,1151 S. Edgefield Ave.,Winnetka Elementary School,Point,-96.84524374,32.73440072,"32.73440072,-96.84524374"
Feature,Lakewood Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/lakewood"">http://www.dallasisd.org/lakewood</a>",Dallas,75214,Lakewood Elementary School,171,Elementary,9727497300,171,88,3000 Hillbrook St.,Lakewood Elementary School,Point,-96.74375069,32.82576324,"32.82576324,-96.74375069"
Feature,Casa View Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/casaview"">http://www.dallasisd.org/casaview</a>",Dallas,75228,Casa View Elementary School,125,Elementary,9727497700,125,89,2100 N. Farola Dr.,Casa View Elementary School,Point,-96.67473222,32.84548541,"32.84548541,-96.67473222"
Feature,Gill Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/gill"">http://www.dallasisd.org/gill</a>",Dallas,75228,Gill Elementary School,147,Elementary,9727498400,147,90,10910 Ferguson Rd.,Gill Elementary School,Point,-96.66072567,32.84421387,"32.84421387,-96.66072567"
Feature,Hexter Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hexter"">http://www.dallasisd.org/hexter</a>",Dallas,75218,Hexter Elementary School,153,Elementary,9725025800,153,91,9720 Waterview Rd.,Hexter Elementary School,Point,-96.70959458,32.84923896,"32.84923896,-96.70959458"
Feature,Hotchkiss Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hotchkiss"">http://www.dallasisd.org/hotchkiss</a>",Dallas,75231,Hotchkiss Elementary School,159,Elementary,9727497000,159,92,6929 Town North Dr.,Hotchkiss Elementary School,Point,-96.74050344,32.85866609,"32.85866609,-96.74050344"
Feature,Kiest Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/kiest"">http://www.dallasisd.org/kiest</a>",Dallas,75228,Kiest Elementary School,166,Elementary,9725025600,166,93,2611 Healey Dr.,Kiest Elementary School,Point,-96.67051244,32.82586356,"32.82586356,-96.67051244"
Feature,Reilly Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/reilly"">http://www.dallasisd.org/reilly</a>",Dallas,75218,Reilly Elementary School,198,Elementary,9727497800,198,94,11230 Lippitt Ave.,Reilly Elementary School,Point,-96.68837138,32.85476159,"32.85476159,-96.68837138"
Feature,Young Jr. Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/young"">http://www.dallasisd.org/young</a>",Dallas,75216,Young Jr. Elementary School,250,Elementary,9727492000,250,96,4601 Veterans Dr.,Young Jr. Elementary School,Point,-96.78588717,32.69628607,"32.69628607,-96.78588717"
Feature,Brashear Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/brashear"">http://www.dallasisd.org/brashear</a>",Dallas,75224,Brashear Elementary School,172,Elementary,9725022600,172,97,2959 S. Hampton Rd.,Brashear Elementary School,Point,-96.85786202,32.71258669,"32.71258669,-96.85786202"
Feature,Marsalis Elementary STEAM Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/marsalis"">http://www.dallasisd.org/marsalis</a>",Dallas,75241,Marsalis Elementary STEAM Academy,183,Elementary,9727493500,183,98,5640 S. Marsalis Ave.,Marsalis Elementary STEAM Academy,Point,-96.81334447,32.67817865,"32.67817865,-96.81334447"
Feature,Stemmons Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/stemmons"">http://www.dallasisd.org/stemmons</a>",Dallas,75211,Stemmons Elementary School,210,Elementary,9727944900,210,99,2727 Knoxville St.,Stemmons Elementary School,Point,-96.90153216,32.71566498,"32.71566498,-96.90153216"
Feature,Terry Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/terry"">http://www.dallasisd.org/terry</a>",Dallas,75232,Terry Elementary School,213,Elementary,9727493200,213,100,6661 Greenspan Ave.,Terry Elementary School,Point,-96.83020152,32.66555996,"32.66555996,-96.83020152"
Feature,Thornton Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rlthornton"">http://www.dallasisd.org/rlthornton</a>",Dallas,75241,Thornton Elementary School,215,Elementary,9727948000,215,101,6011 Old Ox Rd.,Thornton Elementary School,Point,-96.79796064,32.67409739,"32.67409739,-96.79796064"
Feature,Tolbert Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/tolbert"">http://www.dallasisd.org/tolbert</a>",Dallas,75233,Tolbert Elementary School,277,Elementary,9727945900,277,102,4000 Blue Ridge Rd.,Tolbert Elementary School,Point,-96.88791659,32.69912893,"32.69912893,-96.88791659"
Feature,Turner Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/turner"">http://www.dallasisd.org/turner</a>",Dallas,75232,Turner Elementary School,219,Elementary,9727946300,219,103,5505 S. Polk St.,Turner Elementary School,Point,-96.84239183,32.67845887,"32.67845887,-96.84239183"
Feature,Webster Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/webster"">http://www.dallasisd.org/webster</a>",Dallas,75233,Webster Elementary School,225,Elementary,9727946100,225,104,3815 S. Franklin St.,Webster Elementary School,Point,-96.86154342,32.69679684,"32.69679684,-96.86154342"
Feature,Bethune Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/bethune"">http://www.dallasisd.org/bethune</a>",Dallas,75211,Bethune Elementary School,274,Elementary,9725021300,274,105,1665 Duncanville Rd.,Bethune Elementary School,Point,-96.90978801,32.72659693,"32.72659693,-96.90978801"
Feature,Cochran Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/cochran"">http://www.dallasisd.org/cochran</a>",Dallas,75211,Cochran Elementary School,236,Elementary,9727944600,236,106,6000 Keeneland Pkwy.,Cochran Elementary School,Point,-96.92525846,32.7354898,"32.7354898,-96.92525846"
Feature,Jones Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/jones"">http://www.dallasisd.org/jones</a>",Dallas,75211,Jones Elementary School,164,Elementary,9727944700,164,107,3901 Meredith Ave.,Jones Elementary School,Point,-96.88483771,32.74292546,"32.74292546,-96.88483771"
Feature,Soto Jr. Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/soto"">http://www.dallasisd.org/soto</a>",Dallas,75211,Soto Jr. Elementary School,287,Elementary,9725025100,287,108,4510 West Jefferson Blvd.,Soto Jr. Elementary School,Point,-96.89444395,32.73588488,"32.73588488,-96.89444395"
Feature,Bryan Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/bryan"">http://www.dallasisd.org/bryan</a>",Dallas,75216,Bryan Elementary School,114,Elementary,9725028500,114,109,2001 Deer Path Dr.,Bryan Elementary School,Point,-96.79501278,32.71158609,"32.71158609,-96.79501278"
Feature,Budd Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/budd"">http://www.dallasisd.org/budd</a>",Dallas,75216,Budd Elementary School,115,Elementary,9725028400,115,110,2121 S. Marsalis Ave.,Budd Elementary School,Point,-96.81515171,32.72207099,"32.72207099,-96.81515171"
Feature,Bushman Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/bushman"">http://www.dallasisd.org/bushman</a>",Dallas,75216,Bushman Elementary School,118,Elementary,9727491800,118,111,4200 Bonnie View Rd.,Bushman Elementary School,Point,-96.77365119,32.70843349,"32.70843349,-96.77365119"
Feature,Dealey International Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/dealey"">http://www.dallasisd.org/dealey</a>",Dallas,75230,Dealey International Academy,134,Magnet,9727948400,134,112,6501 Royal Lane,Dealey International Academy,Point,-96.79177861,32.89576248,"32.89576248,-96.79177861"
Feature,Hillcrest High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hillcrest"">http://www.dallasisd.org/hillcrest</a>",Dallas,75230,Hillcrest High School,6,High,9725026800,6,113,9924 Hillcrest Rd.,Hillcrest High School,Point,-96.78463091,32.88315894,"32.88315894,-96.78463091"
Feature,Seagoville High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/seagovillehs"">http://www.dallasisd.org/seagovillehs</a>",Dallas,75253,Seagoville High School,15,High,9728925900,15,114,15920 Seagoville Rd.,Seagoville High School,Point,-96.58346201,32.67756946,"32.67756946,-96.58346201"
Feature,New Tech High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/newtech"">http://www.dallasisd.org/newtech</a>",Dallas,75216,New Tech High School,3,Magnet,2149327600,3,115,4730 S. Lancaster Rd.,New Tech High School,Point,-96.79104874,32.69143535,"32.69143535,-96.79104874"
Feature,Wilmer-Hutchins High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/wilmerhutchinshs"">http://www.dallasisd.org/wilmerhutchinshs</a>",Dallas,75241,Wilmer-Hutchins High School,380,High,9729252900,380,116,5520 Langdon Rd.,Wilmer-Hutchins High School,Point,-96.72975362,32.6566006,"32.6566006,-96.72975362"
Feature,Carter High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/carter"">http://www.dallasisd.org/carter</a>",Dallas,75232,Carter High School,23,High,2149325700,23,117,1819 W. Wheatland Rd.,Carter High School,Point,-96.84863069,32.64968531,"32.64968531,-96.84863069"
Feature,Gilliam Collegiate Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/gilliam"">http://www.dallasisd.org/gilliam</a>",Dallas,75241,Gilliam Collegiate Academy,85,Magnet,2149327300,85,118,1700 E. Camp Wisdom Rd.,Gilliam Collegiate Academy,Point,-96.79533796,32.66231368,"32.66231368,-96.79533796"
Feature,Madison High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/madison"">http://www.dallasisd.org/madison</a>",Dallas,75215,Madison High School,32,High,9729252800,32,119,3000 Martin Luther King Blvd.,Madison High School,Point,-96.76486832,32.77129673,"32.77129673,-96.76486832"
Feature,North Dallas High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/northdallas"">http://www.dallasisd.org/northdallas</a>",Dallas,75204,North Dallas High School,24,High,9729251500,24,121,3120 N. Haskell Ave.,North Dallas High School,Point,-96.7956876,32.80974719,"32.80974719,-96.7956876"
Feature,Wilson High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/woodrow"">http://www.dallasisd.org/woodrow</a>",Dallas,75214,Wilson High School,22,High,9725024400,22,122,100 S. Glasgow Dr.,Wilson High School,Point,-96.75150693,32.80608672,"32.80608672,-96.75150693"
Feature,Lassiter Early College at El Centro,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/lassiter"">http://www.dallasisd.org/lassiter</a>",Dallas,75202,Lassiter Early College at El Centro,90,Magnet,2148602356,90,123,701 Elm St.,Lassiter Early College at El Centro,Point,-96.80530449,32.77974789,"32.77974789,-96.80530449"
Feature,Travis Academy for Talented and Gifted,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/travis"">http://www.dallasisd.org/travis</a>",Dallas,75204,Travis Academy for Talented and Gifted,217,Magnet,9727947500,217,124,3001 McKinney Ave.,Travis Academy for Talented and Gifted,Point,-96.80174905,32.80048572,"32.80048572,-96.80174905"
Feature,Angelou High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/angelou"">http://www.dallasisd.org/angelou</a>",Dallas,75224,Angelou High School,30,Alternative,9727492263,30,126,3313 S. Beckley Ave.,Angelou High School,Point,-96.82458703,32.70453119,"32.70453119,-96.82458703"
Feature,Multiple Careers Magnet Center,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/mcmc"">http://www.dallasisd.org/mcmc</a>",Dallas,75204,Multiple Careers Magnet Center,4,Alternative,9729252200,4,127,4528 Rusk Ave.,Multiple Careers Magnet Center,Point,-96.78453943,32.80756829,"32.80756829,-96.78453943"
Feature,Mata Montessori School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/mata"">http://www.dallasisd.org/mata</a>",Dallas,75214,Mata Montessori School,270,Choice,9727497500,270,128,7420 La Vista Dr.,Mata Montessori School,Point,-96.73160505,32.80636622,"32.80636622,-96.73160505"
Feature,Pinkston High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/pinkston"">http://www.dallasisd.org/pinkston</a>",Dallas,75212,Pinkston High School,12,High,9725022700,12,129,2200 Dennison St.,Pinkston High School,Point,-96.85853132,32.78113256,"32.78113256,-96.85853132"
Feature,Adamson High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/adamson"">http://www.dallasisd.org/adamson</a>",Dallas,75203,Adamson High School,2,High,9727491400,2,130,309 E. Ninth St.,Adamson High School,Point,-96.82050063,32.7484356,"32.7484356,-96.82050063"
Feature,Sunset High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/sunset"">http://www.dallasisd.org/sunset</a>",Dallas,75208,Sunset High School,18,High,9725021500,18,131,2120 W. Jefferson Blvd.,Sunset High School,Point,-96.85444485,32.7461774,"32.7461774,-96.85444485"
Feature,Adams High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/bryanadams"">http://www.dallasisd.org/bryanadams</a>",Dallas,75228,Adams High School,1,High,9725024900,1,132,2101 Millmar Dr.,Adams High School,Point,-96.68290398,32.82790847,"32.82790847,-96.68290398"
Feature,Stone Montessori Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/stone"">http://www.dallasisd.org/stone</a>",Dallas,75216,Stone Montessori Academy,212,Magnet,9727943400,212,133,4747 Veterans Dr.,Stone Montessori Academy,Point,-96.78308197,32.69321609,"32.69321609,-96.78308197"
Feature,Kimball High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/kimball"">http://www.dallasisd.org/kimball</a>",Dallas,75233,Kimball High School,8,High,9725022100,8,134,3606 S. Westmoreland Rd.,Kimball High School,Point,-96.87640679,32.69824766,"32.69824766,-96.87640679"
Feature,Garza Early College at Mt. View,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/garza"">http://www.dallasisd.org/garza</a>",Dallas,75211,Garza Early College at Mt. View,88,Magnet,2148603680,88,135,4849 W. Illinois Ave. Rm.W53A,Garza Early College at Mt. View,Point,-96.90462295,32.72545076,"32.72545076,-96.90462295"
Feature,Molina High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/molina"">http://www.dallasisd.org/molina</a>",Dallas,75211,Molina High School,5,High,9725021000,5,136,2355 Duncanville Rd.,Molina High School,Point,-96.91037159,32.72270407,"32.72270407,-96.91037159"
Feature,Lincoln Humanities/Communications Magnet,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/lincoln"">http://www.dallasisd.org/lincoln</a>",Dallas,75215,Lincoln Humanities/Communications Magnet,10,Magnet,9729257600,10,137,2826 Hatcher St.,Lincoln Humanities/Communications Magnet,Point,-96.74970641,32.75480844,"32.75480844,-96.74970641"
Feature,Skyline CDC High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/skyline"">http://www.dallasisd.org/skyline</a>",Dallas,75227,Skyline CDC High School,840,Magnet,9725023400,840,138,7777 Forney Rd.,Skyline CDC High School,Point,-96.69055741,32.78051519,"32.78051519,-96.69055741"
Feature,Polk TAG Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/polk"">http://www.dallasisd.org/polk</a>",Dallas,75209,Polk TAG Elementary School,828,Magnet,9727948900,828,139,6911 Victoria Ave.,Polk TAG Elementary School,Point,-96.8316914,32.84226278,"32.84226278,-96.8316914"
Feature,Spence Talented/Gifted Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/spence"">http://www.dallasisd.org/spence</a>",Dallas,75204,Spence Talented/Gifted Academy,804,Magnet,9729252300,804,140,4001 Capitol Ave.,Spence Talented/Gifted Academy,Point,-96.78800801,32.80783113,"32.80783113,-96.78800801"
Feature,Lanier Expressive Arts Vanguard,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/lanier"">http://www.dallasisd.org/lanier</a>",Dallas,75208,Lanier Expressive Arts Vanguard,827,Magnet,9727944400,827,141,1400 Walmsley Ave.,Lanier Expressive Arts Vanguard,Point,-96.84409998,32.76891875,"32.76891875,-96.84409998"
Feature,Greiner Exploratory Arts Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/greineracademy"">http://www.dallasisd.org/greineracademy</a>",Dallas,75208,Greiner Exploratory Arts Academy,805,Magnet,9729257100,805,142,501 S. Edgefield Ave.,Greiner Exploratory Arts Academy,Point,-96.84495553,32.74000956,"32.74000956,-96.84495553"
Feature,Rosemont Upper,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rosemont"">http://www.dallasisd.org/rosemont</a>",Dallas,75208,Rosemont Upper,359,Magnet,9727495000,359,143,719 N. Montclair Ave.,Rosemont Upper,Point,-96.84735659,32.75167634,"32.75167634,-96.84735659"
Feature,Atwell Law Academy,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/atwellacademy"">http://www.dallasisd.org/atwellacademy</a>",Dallas,75232,Atwell Law Academy,803,Magnet,9727946400,803,144,1303 Reynoldston Lane,Atwell Law Academy,Point,-96.84176204,32.6777711,"32.6777711,-96.84176204"
Feature,Marsh Preparatory Academy Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/marsh"">http://www.dallasisd.org/marsh</a>",Dallas,75244,Marsh Preparatory Academy Middle School,54,Middle,9725026600,54,146,3838 Crown Shore Dr.,Marsh Preparatory Academy Middle School,Point,-96.85010934,32.9113392,"32.9113392,-96.85010934"
Feature,Walker Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/walker"">http://www.dallasisd.org/walker</a>",Dallas,75230,Walker Middle School,56,Middle,9725026100,56,147,12532 Nuestra Dr.,Walker Middle School,Point,-96.80989677,32.9193986,"32.9193986,-96.80989677"
Feature,Tasby Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/tasby"">http://www.dallasisd.org/tasby</a>",Dallas,75231,Tasby Middle School,83,Middle,9725021900,83,148,7001 Fair Oaks Ave.,Tasby Middle School,Point,-96.75995138,32.87248989,"32.87248989,-96.75995138"
Feature,Young Men's Leadership Academy at Fred F. Florence Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/florence"">http://www.dallasisd.org/florence</a>",Dallas,75217,Young Men's Leadership Academy at Fred F. Florence Middle School,46,Middle,9727496000,46,149,1625 N. Masters Dr.,Young Men's Leadership Academy at Fred F. Florence Middle School,Point,-96.64931153,32.74149555,"32.74149555,-96.64931153"
Feature,Piedmont Global Academy Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/hood"">http://www.dallasisd.org/hood</a>",Dallas,75227,Piedmont Global Academy Middle School,52,Middle,9727494100,52,151,7625 Hume Dr.,Piedmont Global Academy Middle School,Point,-96.69114584,32.75846412,"32.75846412,-96.69114584"
Feature,Young Women's STEAM Academy at Balch Springs Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/balchsprings"">http://www.dallasisd.org/balchsprings</a>",Balch Spr,75180,Young Women's STEAM Academy at Balch Springs Middle School,352,Middle,9728925800,352,152,710 Cheyenne Rd.,Young Women's STEAM Academy at Balch Springs Middle School,Point,-96.63838366,32.72564418,"32.72564418,-96.63838366"
Feature,Atwell Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/atwellacademy"">http://www.dallasisd.org/atwellacademy</a>",Dallas,75232,Atwell Middle School,42,Middle,9727946400,42,153,1303 Reynoldston Lane,Atwell Middle School,Point,-96.84176204,32.6777711,"32.6777711,-96.84176204"
Feature,Spence Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/spence"">http://www.dallasisd.org/spence</a>",Dallas,75204,Spence Middle School,58,Middle,9729252300,58,154,4001 Capitol Ave.,Spence Middle School,Point,-96.78800801,32.80783113,"32.80783113,-96.78800801"
Feature,Cedar Crest Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/cedarcrest"">http://www.dallasisd.org/cedarcrest</a>",Dallas,75203,Cedar Crest Elementary School,163,Elementary,9729257400,163,156,2020 Mouser St.,Cedar Crest Elementary School,Point,-96.79296252,32.73746286,"32.73746286,-96.79296252"
Feature,Holland at Lisbon Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/holland"">http://www.dallasisd.org/holland</a>",Dallas,75216,Holland at Lisbon Elementary School,178,Elementary,9727491900,178,157,4203 S. Lancaster Rd.,Holland at Lisbon Elementary School,Point,-96.79581218,32.69738104,"32.69738104,-96.79581218"
Feature,Miller Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/miller"">http://www.dallasisd.org/miller</a>",Dallas,75216,Miller Elementary School,185,Elementary,9725028700,185,158,3111 Bonnie View Rd.,Miller Elementary School,Point,-96.7802255,32.71868423,"32.71868423,-96.7802255"
Feature,Trinity Heights Gifted and Talented,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/trinityheights"">http://www.dallasisd.org/trinityheights</a>",Dallas,75216,Trinity Heights Gifted and Talented,186,Magnet,9729257500,186,159,1515 Lynn Haven Ave.,Trinity Heights Gifted and Talented,Point,-96.80233277,32.73298688,"32.73298688,-96.80233277"
Feature,Oliver Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/oliver"">http://www.dallasisd.org/oliver</a>",Dallas,75216,Oliver Elementary School,189,Elementary,9727493400,189,160,4010 Idaho Ave.,Oliver Elementary School,Point,-96.81098957,32.69492882,"32.69492882,-96.81098957"
Feature,Pease Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/pease"">http://www.dallasisd.org/pease</a>",Dallas,75216,Pease Elementary School,191,Elementary,2149323800,191,161,2914 Cummings St.,Pease Elementary School,Point,-96.77264929,32.69800353,"32.69800353,-96.77264929"
Feature,Carpenter Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/carpenter"">http://www.dallasisd.org/carpenter</a>",Dallas,75224,Carpenter Elementary School,121,Elementary,9727946000,121,162,2121 Tosca Lane,Carpenter Elementary School,Point,-96.85302285,32.69574762,"32.69574762,-96.85302285"
Feature,Jordan Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/jordan"">http://www.dallasisd.org/jordan</a>",Dallas,75224,Jordan Elementary School,133,Elementary,9729258100,133,163,1111 W. Kiest Blvd.,Jordan Elementary School,Point,-96.84168046,32.70655163,"32.70655163,-96.84168046"
Feature,Russell Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/russell"">http://www.dallasisd.org/russell</a>",Dallas,75224,Russell Elementary School,205,Elementary,9729258300,205,164,3031 S. Beckley Ave.,Russell Elementary School,Point,-96.82388751,32.70858807,"32.70858807,-96.82388751"
Feature,Nathan Adams Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/nathanadams"">http://www.dallasisd.org/nathanadams</a>",Dallas,75244,Nathan Adams Elementary School,233,Elementary,9727942600,233,165,12600 Welch Rd.,Nathan Adams Elementary School,Point,-96.82827053,32.92152013,"32.92152013,-96.82827053"
